テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,ブラウザ/プロジェクト結果,Bug ID,実行メモ
TC-E2E-037,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定8回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定8",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-038,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定9回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定9",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-039,TD041,TV034,TA010,E2E自動,Performance,中,描画性能測定10回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"デフォルト入力, eventProb=0, viewport=1280x720, ウォームアップ3回後の測定10",TD041 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,開始操作から#output更新完了までの時間が測定ログに記録され、10回分の95パーセンタイル判定材料になる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-040,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 1回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行1回目の入力: salary=3100000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-041,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 2回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行2回目の入力: salary=3200000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-042,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 3回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行3回目の入力: salary=3300000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-043,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 4回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行4回目の入力: salary=3400000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-044,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 5回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行5回目の入力: salary=3500000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-045,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 6回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行6回目の入力: salary=3600000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-046,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 7回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行7回目の入力: salary=3700000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-047,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 8回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行8回目の入力: salary=3800000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-048,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 9回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行9回目の入力: salary=3900000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-049,TD042,TV035,TA010,E2E自動,Performance,中,10回連続実行 10回目,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"連続実行10回目の入力: salary=4000000, eventProb=0",TD042 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"古い結果混入, JavaScript例外, 明確な表示遅延がない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,仕様6.2,R010,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-050,TD043,TV036,TA011,E2E自動,Compatibility,中,代表環境 chromium,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=chromium, 初期値で開始",TD043 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,chromium で主要入力と結果生成が可能で、環境別にPassまたはFailを判定できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.3, 9.4",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-051,TD043,TV036,TA011,E2E自動,Compatibility,中,代表環境 firefox,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=firefox, 初期値で開始",TD043 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,firefox で主要入力と結果生成が可能で、環境別にPassまたはFailを判定できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.3, 9.4",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-052,TD043,TV036,TA011,E2E自動,Compatibility,中,代表環境 webkit,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=webkit, 初期値で開始",TD043 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,webkit で主要入力と結果生成が可能で、環境別にPassまたはFailを判定できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.3, 9.4",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-053,TD045,TV025,TA007,E2E自動,Compatibility,中,chromium number input 指数表記,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=chromium, salary=1e6",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,chromium で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-054,TD045,TV025,TA007,E2E自動,Compatibility,中,chromium number input 貼り付け,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=chromium, salaryへ3000000を貼り付け",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,chromium で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-055,TD045,TV025,TA007,E2E自動,Compatibility,中,chromium number input スピンボタン差異,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=chromium, salaryをスピン操作で3000001へ変更",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,chromium で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-056,TD045,TV025,TA007,E2E自動,Compatibility,中,firefox number input 指数表記,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=firefox, salary=1e6",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,firefox で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-057,TD045,TV025,TA007,E2E自動,Compatibility,中,firefox number input 貼り付け,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=firefox, salaryへ3000000を貼り付け",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,firefox で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-058,TD045,TV025,TA007,E2E自動,Compatibility,中,firefox number input スピンボタン差異,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=firefox, salaryをスピン操作で3000001へ変更",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,firefox で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-059,TD045,TV025,TA007,E2E自動,Compatibility,中,webkit number input 指数表記,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=webkit, salary=1e6",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,webkit で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-060,TD045,TV025,TA007,E2E自動,Compatibility,中,webkit number input 貼り付け,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=webkit, salaryへ3000000を貼り付け",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,webkit で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-061,TD045,TV025,TA007,E2E自動,Compatibility,中,webkit number input スピンボタン差異,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,"Playwright project=webkit, salaryをスピン操作で3000001へ変更",TD045 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,webkit で最終DOM値のパースと結果生成が止まらない。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様7.1, 7.2, 9.4",R006,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-062,TD046,TV038,TA011,E2E自動,Accessibility,中,レイアウト 800x600,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,viewport=800x600,TD046 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"入力, 給与変更設定, 開始ボタン, 結果表示が操作不能または読取不能にならない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様11.2, 13 C002",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-063,TD046,TV038,TA011,E2E自動,Accessibility,中,レイアウト 1280x720,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,viewport=1280x720,TD046 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,"入力, 給与変更設定, 開始ボタン, 結果表示が操作不能または読取不能にならない。","Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様11.2, 13 C002",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-064,TD047,TV039,TA011,E2E自動,Accessibility,中,キーボード 入力移動,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,Tabキーで主要入力欄を順に移動する,TD047 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,主要入力欄へキーボードのみで到達できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様9.4, 13 C003",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-065,TD047,TV039,TA011,E2E自動,Accessibility,中,キーボード 給与変更表示,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,Tabキーでトグルボタンへ移動してEnterを押す,TD047 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,給与変更設定エリアをキーボードのみで表示できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様9.4, 13 C003",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-066,TD047,TV039,TA011,E2E自動,Accessibility,中,キーボード 給与変更追加,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,追加ボタンへキーボードで移動してEnterを押す,TD047 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,給与変更行をキーボードのみで追加できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様9.4, 13 C003",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-067,TD047,TV039,TA011,E2E自動,Accessibility,中,キーボード 給与変更削除,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,削除ボタンへキーボードで移動してEnterを押す,TD047 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,給与変更行をキーボードのみで削除できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様9.4, 13 C003",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
TC-E2E-068,TD047,TV039,TA011,E2E自動,Accessibility,中,キーボード 開始操作,sample_app/retirement_simulator.html をスタンドアロンHTMLとして開く。JavaScript有効。viewportはケース指定値を使う。,開始ボタンへキーボードで移動してEnterを押す,TD047 の対象条件を画面またはブラウザ制御で設定し、開始操作後に指定された表示またはブラウザ証跡を確認する。,シミュレーションをキーボードのみで開始できる。,"Playwright実行ログ, スクリーンショットまたは測定ログ",なし,"仕様9.4, 13 C003",R011,作成済み,Pass,20260531222735,npm.cmd run test:e2e -- --reporter=json,"chromium:Pass(passed), firefox:Pass(passed), webkit:Pass(passed)",,Playwright JSONで対象テストケースIDの全実行成功を確認
