テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力/データ,手順,期待結果,確認方法/証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-046,TD009,TV014,TA004,コードベース,Unit,中,車検イベント,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:車検, cost:80000}]",TD009 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"車検 のイベント行と費用80,000円が出力され、現金から同額が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様4.1, 5.3",R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-047,TD009,TV014,TA004,コードベース,Unit,中,冠婚葬祭イベント,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:冠婚葬祭, cost:120000}]",TD009 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"冠婚葬祭 のイベント行と費用120,000円が出力され、現金から同額が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様4.1, 5.3",R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-048,TD009,TV014,TA004,コードベース,Unit,中,健康診断イベント,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:健康診断, cost:30000}]",TD009 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"健康診断 のイベント行と費用30,000円が出力され、現金から同額が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様4.1, 5.3",R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-049,TD009,TV014,TA004,コードベース,Unit,中,引越しイベント,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:引越し, cost:200000}]",TD009 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"引越し のイベント行と費用200,000円が出力され、現金から同額が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様4.1, 5.3",R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-050,TD010,TV015,TA004,コードベース,Unit,中,Math.random差し替えでイベント有無を固定,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"Math.randomを0.99に差し替え, eventProb=0.5",TD010 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,イベントなしの結果を再現でき、本番機能としてseed設定を要求しない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.3,R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-051,TD010,TV015,TA004,コードベース,Unit,中,イベント種別1件化で種別固定,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"eventProb=1, eventTypes=[{name:車検, cost:80000}]",TD010 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,車検だけが発生し、イベント種別の期待値を再現可能にできる。,"コードベーステスト実行ログ, アサーション結果",なし,仕様5.3,R004,作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-052,TD011,TV017,TA005,コードベース,Unit,高,給与変更年齢0は無効,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryChanges=[{age:0,salary:4000000}]",TD011 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,給与変更は採用されず、基本年収が使われる。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 7.2","R005, R006, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-004,実行ログでテストケースIDの失敗を確認
TC-CB-053,TD011,TV017,TA005,コードベース,Unit,高,給与変更年齢1は有効,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryChanges=[{age:1,salary:4000000}], startAge=30",TD011 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"給与変更が採用され、開始時点で年収4,000,000円が使われる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 7.2","R005, R006, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-054,TD011,TV017,TA005,コードベース,Unit,高,給与変更年齢100は有効,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryChanges=[{age:100,salary:4000000}], startAge=100, retirementAge=101",TD011 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"100歳の給与期間で年収4,000,000円が使われる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 7.2","R005, R006, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-055,TD011,TV017,TA005,コードベース,Unit,高,給与変更年齢101は無効,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryChanges=[{age:101,salary:4000000}]",TD011 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,給与変更は採用されず、基本年収が使われる。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 7.2","R005, R006, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-056,TD011,TV017,TA005,コードベース,Unit,高,給与変更年収0は無効,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryChanges=[{age:35,salary:0}]",TD011 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,給与変更は採用されず、基本年収が使われる。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 7.2","R005, R006, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-005,実行ログでテストケースIDの失敗を確認
TC-CB-057,TD011,TV017,TA005,コードベース,Unit,高,給与変更年収正値は有効,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryChanges=[{age:35,salary:4000000}], startAge=35",TD011 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"年収4,000,000円が35歳開始月から使われる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 7.2","R005, R006, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-058,TD011,TV017,TA005,コードベース,Unit,高,給与変更年収未入力は無効,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salaryChanges=[{age:35,salary:NaN相当}]",TD011 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,未入力の給与変更は無効設定として無視される。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 7.2","R005, R006, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-006,実行ログでテストケースIDの失敗を確認
TC-CB-059,TD012,TV019,TA005,コードベース,Unit,高,単一給与変更,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"baseSalary=3000000, salaryChanges=[{age:35,salary:4000000}]",TD012 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"35歳以後は年収4,000,000円、それ以前は基本年収が使われる。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-060,TD012,TV019,TA005,コードベース,Unit,高,複数年齢給与変更,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"baseSalary=3000000, salaryChanges=[{age:35,salary:4000000},{age:40,salary:7000000}]",TD012 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"40歳以後は7,000,000円、35歳から39歳は4,000,000円が使われる。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-007,実行ログでテストケースIDの失敗を確認
TC-CB-061,TD012,TV019,TA005,コードベース,Unit,高,同一年齢最後追加優先,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"baseSalary=3000000, salaryChanges追加順=[{age:35,salary:4000000},{age:35,salary:5000000}]",TD012 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"35歳以後は最後に追加された年収5,000,000円が使われる。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Fail,20260531221233,npm run test:codebase,BUG-008,実行ログでテストケースIDの失敗を確認
TC-CB-062,TD012,TV019,TA005,コードベース,Unit,高,削除後の優先順位,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"baseSalary=3000000, 35歳5,000,000円設定を削除し35歳4,000,000円設定のみ残す",TD012 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"削除された設定は使われず、35歳以後は4,000,000円が使われる。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-063,TD013,TV023,TA007,コードベース,Unit,高,空欄フォールバック,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary欄を空欄としてparseFloatがNaNになる値を渡す,TD013 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,0にフォールバックし、出力文字列にNaNやInfinityが出ない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2","R006, R007",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-064,TD013,TV023,TA007,コードベース,Unit,高,NaN相当フォールバック,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary=Number.NaN をテスト環境で渡す,TD013 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,0にフォールバックし、出力文字列にNaNが出ない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2","R006, R007",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-065,TD013,TV023,TA007,コードベース,Unit,高,Infinity相当フォールバック,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,salary=Infinity をテスト環境で渡す,TD013 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,0にフォールバックし、出力文字列にInfinityが出ない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.1, 7.2","R006, R007",作成済み,Fail,20260531221233,npm run test:codebase,BUG-009,実行ログでテストケースIDの失敗を確認
TC-CB-066,TD014,TV024,TA007,コードベース,Unit,中,開始時現金の負値,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=-100000, 他入力はデフォルト, eventProb=0",TD014 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,例外停止せず、現金または総資産のマイナス表示を許容する。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.2, 5.2","R006, R007",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-067,TD014,TV024,TA007,コードベース,Unit,中,開始時投資残高の負値,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialInv=-100000, 他入力はデフォルト, eventProb=0",TD014 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,例外停止せず、投資残高の自然処理結果が出力される。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.2, 5.2","R006, R007",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-068,TD014,TV024,TA007,コードベース,Unit,中,生活費の負値,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"expenseCurrent=-100000, 他入力はデフォルト, eventProb=0",TD014 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,生活費差引が自然処理され、結果生成が停止しない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.2, 5.2","R006, R007",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-069,TD014,TV024,TA007,コードベース,Unit,中,収入系の負値,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"salary=-3000000, 他入力はデフォルト, eventProb=0",TD014 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,負の収入が自然処理され、結果生成が停止しない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様7.2, 5.2","R006, R007",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-070,TD017,TV005,TA002,コードベース,Integration,高,startAge 30,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, eventProb=0",TD017 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,30歳1月から100歳12月まで852か月分の月次結果が生成される。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 6.1","R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-071,TD017,TV005,TA002,コードベース,Integration,高,startAge 100,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=100, eventProb=0",TD017 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,100歳1月から100歳12月まで12か月分の月次結果が生成される。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 6.1","R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-072,TD017,TV005,TA002,コードベース,Integration,高,startAge 101,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=101, eventProb=0",TD017 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,月次結果は空配列相当になり、例外停止しない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 6.1","R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-073,TD018,TV006,TA002,コードベース,Integration,高,退職直前,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=64, retirementAge=65, pensionStartAge=67, 対象=64歳12月",TD018 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,給与収入行が表示される。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F002,"R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-074,TD018,TV006,TA002,コードベース,Integration,高,退職年齢,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=65, retirementAge=65, pensionStartAge=67, 対象=65歳1月",TD018 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,退職後収入行が表示される。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F002,"R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-075,TD018,TV006,TA002,コードベース,Integration,高,年金開始直前,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=66, retirementAge=65, pensionStartAge=67, 対象=66歳12月",TD018 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,退職後収入行が表示される。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F002,"R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-076,TD018,TV006,TA002,コードベース,Integration,高,年金開始年齢,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=67, retirementAge=65, pensionStartAge=67, 対象=67歳1月",TD018 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,年金収入行が表示される。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F002,"R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-077,TD019,TV007,TA002,コードベース,Integration,高,退職年齢と年金開始が同年齢,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=64, retirementAge=65, pensionStartAge=65",TD019 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,64歳は給与、65歳から年金収入へ遷移し、退職後収入期間は発生しない。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F002,"R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-078,TD019,TV007,TA002,コードベース,Integration,高,年金開始が退職前,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=64, retirementAge=67, pensionStartAge=65",TD019 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,66歳までは給与、67歳から年金収入へ遷移する。,"コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F002,"R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-079,TD020,TV008,TA002,コードベース,Integration,高,現役生活費,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, retirementAge=65, pensionStartAge=67, expenseCurrent=155600, 対象=30歳1月",TD020 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"現役状態では生活費155,600円が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 3.1.2","R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-080,TD020,TV008,TA002,コードベース,Integration,高,退職後生活費,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=65, retirementAge=65, pensionStartAge=67, expenseGap=228000, 対象=65歳1月",TD020 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"退職後状態では生活費228,000円が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 3.1.2","R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-081,TD020,TV008,TA002,コードベース,Integration,高,年金期間生活費,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=67, retirementAge=65, pensionStartAge=67, expenseRetired=228000, 対象=67歳1月",TD020 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"年金期間では老後生活費228,000円が差し引かれる。","コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 3.1.2","R002, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-082,TD021,TV009,TA003,コードベース,Integration,高,投資率0%,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"investRate=0, salary=3000000, eventProb=0",TD021 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,月手取りはすべて現金へ加算され、投資積立額は0円になる。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 5.1","R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-083,TD021,TV009,TA003,コードベース,Integration,高,投資率20%,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"investRate=0.2, salary=3000000, eventProb=0",TD021 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,月手取りの20%が投資残高へ、80%が現金へ加算される。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 5.1","R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-084,TD021,TV009,TA003,コードベース,Integration,高,投資率100%,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"investRate=1, salary=3000000, eventProb=0",TD021 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,月手取りはすべて投資残高へ加算され、給与由来の現金加算は0円になる。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F002, 5.1","R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-085,TD022,TV011,TA003,コードベース,Integration,高,補填発生月の表示,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"initialCash=0, initialInv=120000, monthlyPension=0, expenseRetired=100000, startAge=65, retirementAge=65, pensionStartAge=65, eventProb=0",TD022 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"投資補填額100,000円, 税金20,000円, 現金0円, 投資0円, 総資産0円の表示丸めが一致する。","コードベーステスト実行ログ, アサーション結果",なし,"仕様5.2, 3.1.3","R003, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-086,TD023,TV016,TA005,コードベース,Integration,高,給与変更エリア表示,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,トグル操作でsalaryChangesをdisplay:blockにする,TD023 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,設定一覧が表示され、DOM上の入力項目がシミュレーション入力候補になる。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-087,TD023,TV016,TA005,コードベース,Integration,高,給与変更エリア非表示,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,表示済み状態でトグル操作を行う,TD023 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,設定一覧が非表示になり、既存設定値は保持される。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-088,TD023,TV016,TA005,コードベース,Integration,高,給与変更追加,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"追加ボタン操作で35歳4,000,000円の設定を作る",TD023 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,salary-change-itemが1件追加され、実行時に設定配列へ反映される。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-089,TD023,TV016,TA005,コードベース,Integration,高,給与変更削除,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"35歳4,000,000円の設定を削除する",TD023 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,削除したsalary-change-itemは実行時の設定配列に含まれない。,"コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-090,TD023,TV016,TA005,コードベース,Integration,高,給与変更後の再実行,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"35歳4,000,000円を追加して開始し、削除して再度開始する",TD023 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"1回目は年収4,000,000円行が出力され、2回目は削除済み設定が反映されない。","コードベーステスト実行ログ, アサーション結果",なし,"仕様2.2 F008, 3.1.2","R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-091,TD024,TV018,TA005,コードベース,Integration,高,開始前給与変更,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, salaryChanges=[{age:25,salary:4000000}]",TD024 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"開始月から年収4,000,000円が適用済みとして扱われる。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
TC-CB-092,TD024,TV018,TA005,コードベース,Integration,高,開始同年齢給与変更,sample_app/retirement_simulator.html から対象関数またはDOMをテスト環境へ読み込む。乱数を使う場合はケース内で固定する。,"startAge=30, salaryChanges=[{age:30,salary:4000000}]",TD024 の対象条件だけを設定し、仕様式から独立に期待値を算出して対象関数またはDOM統合処理を1回実行する。,"30歳1月から年収4,000,000円が適用される。","コードベーステスト実行ログ, アサーション結果",なし,仕様2.2 F008,"R005, R013",作成済み,Pass,20260531221233,npm run test:codebase,,実行ログでテストケースIDの成功を確認
